2026-03-29 04:34:45,435 | app_logger | DEBUG | Logger initialized and configuration loaded.
2026-03-29 04:34:45,435 | app_logger | INFO | Starting the Data Preprocessing Pipeline...
2026-03-29 04:34:45,435 | app_logger | WARNING | External data source detected: checking file integrity.
2026-03-29 04:34:45,435 | app_logger | ERROR | Data validation failed: missing columns in input CSV.
2026-03-29 04:34:45,435 | app_logger | CRITICAL | Memory limit reached: process terminated.
2026-03-29 04:34:45,435 | app_logger | INFO | Data Loaded Started
2026-03-29 04:34:45,519 | app_logger | INFO | Data Load Successfully
2026-03-29 04:34:45,520 | app_logger | INFO | Data Save Start
2026-03-29 04:34:45,780 | app_logger | INFO | Data Saved Successfully
2026-03-29 04:35:03,644 | app_logger | DEBUG | Logger initialized and configuration loaded.
2026-03-29 04:35:03,644 | app_logger | INFO | Starting the Data Preprocessing Pipeline...
2026-03-29 04:35:03,645 | app_logger | WARNING | External data source detected: checking file integrity.
2026-03-29 04:35:03,645 | app_logger | ERROR | Data validation failed: missing columns in input CSV.
2026-03-29 04:35:03,645 | app_logger | CRITICAL | Memory limit reached: process terminated.
2026-03-29 04:35:03,645 | app_logger | INFO | Data Load Started
2026-03-29 04:35:03,744 | app_logger | INFO | Data Load Successfully
2026-03-29 04:35:03,744 | app_logger | INFO | Cleaning of Workclass Start
2026-03-29 04:35:03,775 | app_logger | INFO | Workclass Columns Cleaning Completed
2026-03-29 04:35:03,775 | app_logger | INFO | Cleaning of education column Start
2026-03-29 04:35:03,816 | app_logger | INFO | Education column Cleaning Successfully
2026-03-29 04:35:03,816 | app_logger | INFO | Education Order Column Created
2026-03-29 04:35:03,819 | app_logger | INFO | Education Column Drop
2026-03-29 04:35:03,820 | app_logger | INFO | marital_status column Cleaning Start
2026-03-29 04:35:03,840 | app_logger | INFO | marital_status cleaning Successfully
2026-03-29 04:35:03,841 | app_logger | INFO | Occupation Columns Cleaning Started
2026-03-29 04:35:03,894 | app_logger | INFO | Occupation Column Cleaning Successfully
2026-03-29 04:35:03,895 | app_logger | INFO | Relationship column Cleaning Started
2026-03-29 04:35:03,921 | app_logger | INFO | Relationship columns Cleaning Successfully
2026-03-29 04:35:03,922 | app_logger | INFO | Race Column Drop Successfully
2026-03-29 04:35:03,923 | app_logger | INFO | native_country cleaning Started
2026-03-29 04:35:04,055 | app_logger | INFO | Native_country Cleaning Successfully
2026-03-29 04:35:04,064 | app_logger | INFO | Change the Income in 0&1
2026-03-29 04:35:04,066 | app_logger | INFO | Rename the capital.loss column Successfully
2026-03-29 04:35:04,066 | app_logger | INFO | Making a capital-gain-flag or capital-gain-log col by capital-gain 
2026-03-29 04:35:04,074 | app_logger | INFO | making a columns successfully
2026-03-29 04:35:04,075 | app_logger | INFO | Data Save Start
2026-03-29 04:35:04,319 | app_logger | INFO | Data Saved Successfully
2026-03-29 04:38:01,703 | app_logger | DEBUG | Logger initialized and configuration loaded.
2026-03-29 04:38:01,703 | app_logger | INFO | Starting the Data Preprocessing Pipeline...
2026-03-29 04:38:01,703 | app_logger | WARNING | External data source detected: checking file integrity.
2026-03-29 04:38:01,703 | app_logger | ERROR | Data validation failed: missing columns in input CSV.
2026-03-29 04:38:01,704 | app_logger | CRITICAL | Memory limit reached: process terminated.
2026-03-29 04:38:01,704 | app_logger | INFO | Data Load Started
2026-03-29 04:38:01,813 | app_logger | INFO | Data Load Successfully
2026-03-29 04:38:01,890 | app_logger | INFO | Cleaning of Workclass Start
2026-03-29 04:38:01,952 | app_logger | INFO | Workclass Columns Cleaning Completed
2026-03-29 04:38:01,952 | app_logger | INFO | Cleaning of education column Start
2026-03-29 04:38:02,019 | app_logger | INFO | Education column Cleaning Successfully
2026-03-29 04:38:02,019 | app_logger | INFO | Education Order Column Created
2026-03-29 04:38:02,024 | app_logger | INFO | Education Column Drop
2026-03-29 04:38:02,026 | app_logger | INFO | marital_status column Cleaning Start
2026-03-29 04:38:02,048 | app_logger | INFO | marital_status cleaning Successfully
2026-03-29 04:38:02,048 | app_logger | INFO | Occupation Columns Cleaning Started
2026-03-29 04:38:02,094 | app_logger | INFO | Occupation Column Cleaning Successfully
2026-03-29 04:38:02,094 | app_logger | INFO | Relationship column Cleaning Started
2026-03-29 04:38:02,111 | app_logger | INFO | Relationship columns Cleaning Successfully
2026-03-29 04:38:02,112 | app_logger | INFO | Race Column Drop Successfully
2026-03-29 04:38:02,112 | app_logger | INFO | native_country cleaning Started
2026-03-29 04:38:02,214 | app_logger | INFO | Native_country Cleaning Successfully
2026-03-29 04:38:02,220 | app_logger | INFO | Change the Income in 0&1
2026-03-29 04:38:02,222 | app_logger | INFO | Rename the capital.loss column Successfully
2026-03-29 04:38:02,223 | app_logger | INFO | Making a capital-gain-flag or capital-gain-log col by capital-gain 
2026-03-29 04:38:02,225 | app_logger | INFO | making a columns successfully
2026-03-29 04:38:02,225 | app_logger | INFO | Data Save Start
2026-03-29 04:38:02,383 | app_logger | INFO | Data Saved Successfully
2026-03-29 05:04:25,547 | app_logger | DEBUG | Logger initialized and configuration loaded.
2026-03-29 05:04:25,548 | app_logger | INFO | Starting the Data Preprocessing Pipeline...
2026-03-29 05:04:25,548 | app_logger | WARNING | External data source detected: checking file integrity.
